Day,Mean,Site ID,Name,Basin
2022-11-07,1.403625,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-08,1.4014583333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-09,1.37575,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-10,1.30775,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-11,1.3027916666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-12,1.3330416666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-13,2.2155,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-14,2.6377916666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-15,2.128041666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-16,1.867625,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-17,1.7192083333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-18,1.594125,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-19,1.5087083333333335,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-20,2.0271250000000003,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-21,2.107625,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-22,1.9029583333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-23,1.869,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-24,1.7405833333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-25,1.6385416666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-26,1.547,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-27,1.4770833333333335,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-28,1.415875,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-29,1.3650833333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-11-30,1.32025,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-01,1.2864166666666665,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-02,1.25875,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-03,1.2284166666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-04,1.2023333333333335,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-05,1.177875,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-06,1.1629166666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-07,1.1447916666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-08,1.1232499999999999,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-09,1.10325,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-10,1.081,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-11,1.0615416666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-12,1.1957916666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-13,1.2150416666666668,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-14,1.147,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-15,1.12175,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-16,1.1127500000000001,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-17,1.09725,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-18,1.0692083333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-19,1.0397916666666667,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-20,1.0135833333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-21,0.997125,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-22,0.9867083333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-23,0.9938333333333333,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-24,0.9850416666666666,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-25,0.9539583333333334,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-26,0.946625,401203,Hinnomunjie ,Upper Murray River Basin
2022-12-27,0.973,401203,Hinnomunjie ,Upper Murray River Basin
2022-10-01,2.2965416666666667,401211,Colemans ,Upper Murray River Basin
2022-10-02,2.2974583333333336,401211,Colemans ,Upper Murray River Basin
2022-10-03,2.340333333333333,401211,Colemans ,Upper Murray River Basin
2022-10-04,2.3667083333333334,401211,Colemans ,Upper Murray River Basin
2022-10-05,2.367625,401211,Colemans ,Upper Murray River Basin
2022-10-06,2.3665,401211,Colemans ,Upper Murray River Basin
2022-10-07,2.364916666666667,401211,Colemans ,Upper Murray River Basin
2022-10-08,2.4069583333333333,401211,Colemans ,Upper Murray River Basin
2022-10-09,2.505708333333333,401211,Colemans ,Upper Murray River Basin
2022-10-10,2.4930833333333333,401211,Colemans ,Upper Murray River Basin
2022-10-11,2.4989166666666667,401211,Colemans ,Upper Murray River Basin
2022-10-12,2.4979583333333335,401211,Colemans ,Upper Murray River Basin
2022-10-13,2.4758333333333336,401211,Colemans ,Upper Murray River Basin
2022-10-14,2.448125,401211,Colemans ,Upper Murray River Basin
2022-10-15,2.541958333333333,401211,Colemans ,Upper Murray River Basin
2022-10-16,2.6431666666666667,401211,Colemans ,Upper Murray River Basin
2022-10-17,2.732208333333334,401211,Colemans ,Upper Murray River Basin
2022-10-18,2.686875,401211,Colemans ,Upper Murray River Basin
2022-10-19,2.552166666666667,401211,Colemans ,Upper Murray River Basin
2022-10-20,2.517125,401211,Colemans ,Upper Murray River Basin
2022-10-21,2.5236666666666667,401211,Colemans ,Upper Murray River Basin
2022-10-22,2.4905416666666667,401211,Colemans ,Upper Murray River Basin
2022-10-23,2.6477916666666665,401211,Colemans ,Upper Murray River Basin
2022-10-24,2.768333333333333,401211,Colemans ,Upper Murray River Basin
2022-10-25,2.759541666666667,401211,Colemans ,Upper Murray River Basin
2022-10-26,2.739125,401211,Colemans ,Upper Murray River Basin
2022-10-27,2.7555833333333335,401211,Colemans ,Upper Murray River Basin
2022-10-28,2.8375833333333333,401211,Colemans ,Upper Murray River Basin
2022-10-29,2.9225833333333333,401211,Colemans ,Upper Murray River Basin
2022-10-30,2.9245416666666664,401211,Colemans ,Upper Murray River Basin
2022-10-31,3.04625,401211,Colemans ,Upper Murray River Basin
2022-11-01,3.384541666666667,401211,Colemans ,Upper Murray River Basin
2022-11-02,3.57775,401211,Colemans ,Upper Murray River Basin
2022-11-03,3.5756666666666668,401211,Colemans ,Upper Murray River Basin
2022-11-04,3.5269166666666667,401211,Colemans ,Upper Murray River Basin
2022-11-05,3.2840833333333332,401211,Colemans ,Upper Murray River Basin
2022-11-06,3.1809583333333333,401211,Colemans ,Upper Murray River Basin
2022-11-07,3.0186666666666664,401211,Colemans ,Upper Murray River Basin
2022-11-08,2.889625,401211,Colemans ,Upper Murray River Basin
2022-11-09,2.8035,401211,Colemans ,Upper Murray River Basin
2022-11-10,2.673958333333333,401211,Colemans ,Upper Murray River Basin
2022-11-11,2.6244166666666664,401211,Colemans ,Upper Murray River Basin
2022-11-12,2.568208333333333,401211,Colemans ,Upper Murray River Basin
2022-11-13,2.782666666666667,401211,Colemans ,Upper Murray River Basin
2022-11-14,3.573,401211,Colemans ,Upper Murray River Basin
2022-11-15,4.040958333333333,401211,Colemans ,Upper Murray River Basin
2022-11-16,4.03725,401211,Colemans ,Upper Murray River Basin
2022-11-17,3.883625,401211,Colemans ,Upper Murray River Basin
2022-11-18,3.650541666666667,401211,Colemans ,Upper Murray River Basin
2022-11-19,3.4252916666666664,401211,Colemans ,Upper Murray River Basin
2022-11-20,3.4702083333333333,401211,Colemans ,Upper Murray River Basin
2022-11-21,3.563541666666667,401211,Colemans ,Upper Murray River Basin
2022-11-22,3.5884583333333335,401211,Colemans ,Upper Murray River Basin
2022-11-23,3.5537083333333332,401211,Colemans ,Upper Murray River Basin
2022-11-24,3.4685,401211,Colemans ,Upper Murray River Basin
2022-11-25,3.3504583333333335,401211,Colemans ,Upper Murray River Basin
2022-11-26,3.2090833333333335,401211,Colemans ,Upper Murray River Basin
2022-11-27,3.064458333333333,401211,Colemans ,Upper Murray River Basin
2022-11-28,2.92125,401211,Colemans ,Upper Murray River Basin
2022-11-29,2.7972916666666667,401211,Colemans ,Upper Murray River Basin
2022-11-30,2.6975416666666665,401211,Colemans ,Upper Murray River Basin
2022-12-01,2.6110416666666665,401211,Colemans ,Upper Murray River Basin
2022-12-02,2.602625,401211,Colemans ,Upper Murray River Basin
2022-12-03,2.618125,401211,Colemans ,Upper Murray River Basin
2022-12-04,2.6176666666666666,401211,Colemans ,Upper Murray River Basin
2022-12-05,2.6058333333333334,401211,Colemans ,Upper Murray River Basin
2022-12-06,2.6029166666666668,401211,Colemans ,Upper Murray River Basin
2022-12-07,2.600541666666667,401211,Colemans ,Upper Murray River Basin
2022-12-08,2.6032083333333333,401211,Colemans ,Upper Murray River Basin
2022-12-09,2.6000833333333335,401211,Colemans ,Upper Murray River Basin
2022-12-10,2.59675,401211,Colemans ,Upper Murray River Basin
2022-12-11,2.595125,401211,Colemans ,Upper Murray River Basin
2022-12-12,2.584625,401211,Colemans ,Upper Murray River Basin
2022-12-13,2.5624166666666666,401211,Colemans ,Upper Murray River Basin
2022-12-14,2.5145,401211,Colemans ,Upper Murray River Basin
2022-12-15,2.4330000000000003,401211,Colemans ,Upper Murray River Basin
2022-12-16,2.3045,401211,Colemans ,Upper Murray River Basin
2022-12-17,2.172,401211,Colemans ,Upper Murray River Basin
