,Station ,MaxCategory,Latitude,Longitude,Max Height
405212,Tallarook ,Major,-37.09895462,145.0561441,5.504
405214,Tonga Bridge ,Moderate,-37.15829277,146.1130903,4.339
405217,Devlin's Bridge ,Major,-37.38272675,145.4730812,5.322
405219,Doherty's ,Minor,-37.33088353,146.1307397,2.868
405228,Tarcombe Road ,Major,-36.951083,145.283639,4.767
405231,Flowerdale ,Major,-37.34705697,145.28836661,3.225
405232,McCoys Bridge ,Major,-36.1799296,145.1229808,10.584
405237,Euroa ,Major,-36.76224153,145.585850479,5.597
405269,Kialla West ,Major,-36.45670697,145.39906486,7.242
405306,Strathbogie ,Major,-36.8627,145.7334,3.215
405307,Galls Gap ,Major,-36.87985,145.61966,4.997
405308,Telford Bridge ,Major,-36.784135,145.570699,2.64
405325,Yea (GV Water PS) ,Unclassified,-37.21675439,145.4353772,3.506
406201,Barnadown ,Major,-36.62921036,144.5545006,8.654
406202,Rochester Town AHD ,Below minor,-36.33193098,144.7009668,9.329
406202,Rochester Syphon ,Major,-36.33193098,144.7009668,9.329
406213,Redesdale ,Minor,-37.01512226,144.5402949,6.117
406218,Campaspe Weir HG AHD ,Below minor,-36.4363884,144.6589815,
407203,Laanecoorie Reservoir D/S ,Major,-36.83120534,143.8917144,8.376
407205,Appin South ,Major,-35.92432646,143.8718822,3.47
407210,Cairn Curran Reservoir D/S ,Major,-36.98716397,143.9683234,5.801
407211,Bet Bet ,Major,-36.92226552,143.7467637,6.688
407215,Newstead ,Major,-37.10903603,144.0579866,6.089
407224,Loddon Weir DS ,Major,-36.32343051,143.8652636,7.267
407242,Kerang (Murray Valley Hwy) AHD ,Major,-35.73508293,143.9114927,4.497
408200,Yawong Weir ,Major,-36.43809,143.29839,5.768
408203,Quambatook ,Moderate,-35.90616922,143.5121865,2.362
408212,Charlton DS ,Major,-36.25380216,143.3774657,7.472
408219,Charlton Town ,Major,-36.267109,143.34874,7.855
409005,Barham ,Below minor,-35.62983731,144.1242907,
409202,Tocumwal ,Major,-35.81351719,145.5566847,7.353
409204,Swan Hill ,Moderate,-35.32763381,143.5641798,4.604
409207,Torrumbarry Weir ,Major,-35.942574,144.46466,7.84
414200,Wakool Junction ,Major,-34.84718,143.34152,11.72
414201,Boundary Bend ,Major,-34.71966901,143.1698626,9.13
414202,Mildura AHD ,Below minor,-34.168146,142.160097,
414203,Euston Weir ,Major,-34.60025909,142.7581931,10.253
415200,Walmer ,Moderate,-36.7399112,142.1471631,3.325
415201,Glenorchy ,Major,-36.9093,142.64297,5.021
415241,Yarriambiack Creek (Jung) ,Below minor,-36.62116,142.37277,1.306
415256,U/S Dimboola ,Below minor,-36.56036937,142.00986309,4.703
415261,Quantong Bridge ,Minor,-36.73339641,142.00321005,6.599
,,,,,
,,,,,
,,,,,
,,,,,
